location_id,location_name,parameter,value,unit,datetimeUtc,datetimeLocal,timezone,latitude,longitude,country_iso,isMobile,isMonitor,owner_name,provider
739,"McMillan Reservoir","bc",0.46,"µg/m³","2019-02-14T20:00:00Z","2019-02-14T15:00:00-05:00","America/New_York",38.921848,-77.013176,,,,"Unknown Governmental Organization","AirNow"
739,"McMillan Reservoir","bc",0.32,"µg/m³","2019-02-14T21:00:00Z","2019-02-14T16:00:00-05:00","America/New_York",38.921848,-77.013176,,,,"Unknown Governmental Organization","AirNow"
739,"McMillan Reservoir","bc",0.41,"µg/m³","2019-02-14T22:00:00Z","2019-02-14T17:00:00-05:00","America/New_York",38.921848,-77.013176,,,,"Unknown Governmental Organization","AirNow"
739,"McMillan Reservoir","bc",0.92,"µg/m³","2019-02-14T23:00:00Z","2019-02-14T18:00:00-05:00","America/New_York",38.921848,-77.013176,,,,"Unknown Governmental Organization","AirNow"
739,"McMillan Reservoir","bc",1.18,"µg/m³","2019-02-15T00:00:00Z","2019-02-14T19:00:00-05:00","America/New_York",38.921848,-77.013176,,,,"Unknown Governmental Organization","AirNow"
739,"McMillan Reservoir","bc",0.51,"µg/m³","2019-02-15T01:00:00Z","2019-02-14T20:00:00-05:00","America/New_York",38.921848,-77.013176,,,,"Unknown Governmental Organization","AirNow"
739,"McMillan Reservoir","bc",0.63,"µg/m³","2019-02-15T02:00:00Z","2019-02-14T21:00:00-05:00","America/New_York",38.921848,-77.013176,,,,"Unknown Governmental Organization","AirNow"
739,"McMillan Reservoir","bc",0.39,"µg/m³","2019-02-15T03:00:00Z","2019-02-14T22:00:00-05:00","America/New_York",38.921848,-77.013176,,,,"Unknown Governmental Organization","AirNow"
739,"McMillan Reservoir","bc",0.36,"µg/m³","2019-02-15T04:00:00Z","2019-02-14T23:00:00-05:00","America/New_York",38.921848,-77.013176,,,,"Unknown Governmental Organization","AirNow"
739,"McMillan Reservoir","bc",0.31,"µg/m³","2019-02-15T05:00:00Z","2019-02-15T00:00:00-05:00","America/New_York",38.921848,-77.013176,,,,"Unknown Governmental Organization","AirNow"
739,"McMillan Reservoir","bc",0.25,"µg/m³","2019-02-15T06:00:00Z","2019-02-15T01:00:00-05:00","America/New_York",38.921848,-77.013176,,,,"Unknown Governmental Organization","AirNow"
739,"McMillan Reservoir","bc",0.3,"µg/m³","2019-02-15T07:00:00Z","2019-02-15T02:00:00-05:00","America/New_York",38.921848,-77.013176,,,,"Unknown Governmental Organization","AirNow"
739,"McMillan Reservoir","bc",0.35,"µg/m³","2019-02-15T08:00:00Z","2019-02-15T03:00:00-05:00","America/New_York",38.921848,-77.013176,,,,"Unknown Governmental Organization","AirNow"
739,"McMillan Reservoir","bc",0.38,"µg/m³","2019-02-15T09:00:00Z","2019-02-15T04:00:00-05:00","America/New_York",38.921848,-77.013176,,,,"Unknown Governmental Organization","AirNow"
739,"McMillan Reservoir","bc",0.46,"µg/m³","2019-02-15T10:00:00Z","2019-02-15T05:00:00-05:00","America/New_York",38.921848,-77.013176,,,,"Unknown Governmental Organization","AirNow"
739,"McMillan Reservoir","bc",0.71,"µg/m³","2019-02-15T11:00:00Z","2019-02-15T06:00:00-05:00","America/New_York",38.921848,-77.013176,,,,"Unknown Governmental Organization","AirNow"
739,"McMillan Reservoir","bc",1.03,"µg/m³","2019-02-15T12:00:00Z","2019-02-15T07:00:00-05:00","America/New_York",38.921848,-77.013176,,,,"Unknown Governmental Organization","AirNow"
739,"McMillan Reservoir","bc",1.32,"µg/m³","2019-02-15T13:00:00Z","2019-02-15T08:00:00-05:00","America/New_York",38.921848,-77.013176,,,,"Unknown Governmental Organization","AirNow"
